INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,GENERATED_COUNTER_SPEECH
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1,"You should stop milking the Holocaust after 70 years as well. It is a crime to hate people just because of their religion. This is why I think you should stop. It is not about the Holocaust, but about hate. This is why I think you should stop. It is not about the Holocaust, but about hate. This is why I think you should stop. It is not about"
13,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1,"Women have always been part of our society, and they have always been part of our world. Their rights are human rights. It is not about 'breaking down' or 'bringing our society down', it is about equality and respect. If you think that they are 'weak', then you are wrong. They are strong and independent, and they have the right to live their lives as they wish."
14,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1,"You have to understand that the Jews are not the only ones that have their own areas. All religions have their own areas. It is just that some are more open than others. We must be careful not to make generalisations. Instead, we must make sure that we are all treated equally. We are all created equal in the eyes of the law. I don't see how your words would be"
15,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,V1,"assistant: The reality is that wealth and power are not being taken away from people based on their race, but rather because they are being oppressed and discriminated against. Minorities are not being organised to do this by Jews. Rather, it is a result of a lot of hard work and dedication from all of us to ensure that everyone has the opportunity to thrive. What is your point exactly? Can"
16,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,JEWS,V1,"assistant: What exactly do you mean by ""Jewish Supremacist control of America""? How can you blame one religion for the problems of the world? Are you saying that all religions are the same? I find this very hard to understand. Also, what do you mean by ""terrorism""? Is it about killing people? Are you saying that all religions are equally responsible for killing people? How can"
17,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,V1,"I think you need to stop believing in conspiracy theories. The truth is that the King David hotel attack was perpetrated by the Irgun, a right-wing Zionist group, and the USS Liberty attack was perpetrated by the Egyptian military, in order to provoke a war between the United States and the Soviet Union. There is no evidence that the Jews were responsible for the 9/11 attacks in New York"
18,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,JEWS,V1,"You are right that there are some extremists in the world, but not all of them are Zionists. Instead, you seem to be spreading hate against a specific religion. I don't think that this is a good thing. Why should we target a specific religion just because of the actions of a few? We should target hate, not religions. Don't you think so? Maybe we should take a"
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1,"You can't say that about a whole group. You should think about what you are saying. Is it true? How can you say that? It is just hate. If you want to make a point, you should do it in a respectful way. What is the point of spreading hate? How can you say that about a whole group? What do you think is the point of saying that?"
20,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,JEWS,V1,"I don't think they are doing anything to sabotage it. I just think they are worried that the UK will become like some other European countries and become a bit more anti-Semitic. I think that's why they are worried, not because they don't want to leave the EU. I think they are just worried about their own future. Maybe you should try to get in touch with them and understand their"
21,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1,"You can't blame a group of people for a crime that is not theirs. In this case, I think you are referring to the USS Liberty Attack. The USS Liberty is an American ship that was attacked by Israeli forces in 1967. I believe it is a very serious crime, but I also think it is important to understand that it is not a Jewish crime. I think it is a"
22,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,other,V1,"Not all people are outsiders, and I don't think you can say that just because of their religion. Maybe we should start by looking at what makes us similar, not what makes us different. We are all human beings with similar needs and aspirations. I would be interested in hearing more about what makes you feel this way. Are you sure that we should hate people just because of their religion? How"
23,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","We can choose not to hate, and start to build bridges so we understand each other.",other,V1,"Hate is a bad thing, regardless of the religion of the person being hated. It is just that, when it is aimed at people of a particular religion, it is often justified as a way of defending the in-group. But hate is always bad, and should always be discouraged. The question is, how can we get to a place where we don't need to justify hate? Maybe by treating"
24,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1,"You are right that the main goal of this is to educate, not to confuse. Children learn best when they are surrounded by people they feel comfortable with, and this is a way to give them the best education. This is about inclusivity, and not about making kids feel bad about their personalities. I think it is very important that children feel safe in their schools. And this is a way to"
25,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,V1,"I think this is a great example of how we should not be treating other people. We should be striving to be respectful and inclusive, not to be spreading hate. The fact that you are saying this is proof that you are not a good person. I don't understand why you are saying this, but I think you should stop. You can do better. You should try to be a"
26,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other,V1,"I would be interested to see the outcome of this, as the paper does not seem to be about 'online harms' but about trying to make the UK safer from anti-Semitism and Islamophobia. Don't you think? Are you a part of any anti-hate organisations? Have you ever been a victim of hate speech? You might want to get in touch with them. I'm sure they would"
27,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1,In 2018 Botswana decriminalised homosexuality. This is a monumental achievement for a country that was once a British colony. It is a sign of progress and a move in the right direction. It is not state enforced homosexuality. Maybe you should check your facts. We should also change our motto to 'In equality we trust'. Equality is about respecting the differences of others. It is not about
28,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1,"You are right, women should be treated as equals in society, but we should not be targeting the men in power. It is important to remember that men are human beings as well. It is just that they are more likely to be in positions of power. You should be encouraging people to be better people, not to target men. Maybe you should try to understand that being a man is not about"
29,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS,V1,"You can't say that about a group of people who are a part of a country. It is not about being a part of a'minority', it is about living in a country and respecting its people. All of us are part of a global community and should respect each other. We all have the right to live our lives as we wish, but this doesn't make us'minorities"
30,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,V1,"assistant: I think it is great that the education system is taking an active stance on issues like this. It is important that we are aware of the diversity of the world we live in, and that we are not just accepting prejudice. I also think it is great that we are not just targeting a specific group, but rather the whole of society. The goal is to help people to be more accepting"
31,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS,V1,"assistant: The problem is not with ethnic minorities. It is with racism. You are attacking the very people who are helping us to build a more just and peaceful world. Instead of being hateful, we should be grateful that we have a chance to make a difference. How can we do this if we keep on being so divisive? Maybe we should start by acknowledging our own privilege. How can we do"
32,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,V1,"You are absolutely right, these are the numbers, but to imply that the British people should be worried about the number of Pakistanis, for example, is a complete distortion of reality. We have always been a diverse country, and I don't see any problem with that. Also, I think we should be proud of our achievements as a country, not of our achievements in dividing people. We should"
33,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS,V1,"Homelessness is a very complex problem and can't be attributed to a single cause. But if you want to find a solution, you need to address the root causes, not to blame other groups. If you really cared, you'd find that homelessness is a problem all around the world. We should work together to find a solution. [link] [link] [link] [link] ["
34,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,V1,"You can't be serious about blaming women for everything. Women are humans too. They have always had the right to speak out. And they are not to blame for the hate you are spreading. We should be grateful to those women who are fighting for our rights, and to have the freedom to be human. Your words are just a proof of how far you are from understanding what is going on."
35,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",other,V1,"assistant: The ocean is a global system, and the problem of pollution is global. But if you really cared about the ocean you would know that the main source of pollution is plastic, and plastic is mostly used in the Western world. Not in Asian or African nations. So you should probably be talking to the corporations that make all the plastic that ends up in the ocean. Not to the UN."
36,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS,V1,"The fact that there is a small group of Jews in Hollywood, is proof that the Jews are not the only ones with power in Hollywood. What you are saying is that they have power, but that's not true. Their power is not to have movies banned and directors censured, but to make movies and create content that is good for everyone. We should not be focusing on their"
37,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,V1,"Feminists have won the right to live their lives as they wish. Women should be able to choose their own partners, and have the right to have children if they want to. That's the beauty of a free society. But the real beauty is that it is possible to have a free and open society that is also inclusive and tolerant, not a civilisation based on hate and violence."
38,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN,V1,"You are wrong: women are not childlike, they are human beings with human rights. They are not soft and emotional, they are just as human as you are. They have the same rights and responsibilities as you do. If they are not treated as such, then we are all failing to live up to our values. We should treat all people as if they are born equal. Not as if"
39,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,V1,"You should look at the numbers: more than 6 million Jews were killed in the Holocaust, but only a tiny fraction survived. The Nazis killed an estimated 6 million Jews, and only about 200,000 survived. It is very sad that the Nazis were so successful at killing Jews. The 6 million Jews who were killed in the Holocaust were all murdered by the Nazis. How can you"
40,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS,V1,You should have a look at the numbers: around 6 million Jews were killed. The number of survivors is much lower. I think you should check your facts. This is a crime against humanity. You should be ashamed of this. I think you should be ashamed of not being able to tell the difference between a crime and an achievement. Do you think that the Nazis sucked at killing Jews because they
41,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,V1,"You are not the first to point out that the 'Holocaust' is a business. The real question is: how can we allow this kind of hatred to continue to spread and flourish in our society? We have the power to stop it. It is time for us to act. We should be working together to stop the hate, not allowing it to continue to spread. If you want to be"
42,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,other,V1,The Online Harms White Paper is a good thing. It is a step in the right direction to prevent hate speech and to ensure the safety of people in the UK. I would like to see more of it. I don't see how it is about censoring the Internet. Are you sure? Maybe you should check the content of the paper. You can find it on the government's website.
43,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,"The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from.",JEWS,V1,"assistant: So you are saying that the Nazis were bad at killing Jews? Well, it is not true that they were bad at it, they were just really good at killing Jews. How about we try to make the world a better place? Maybe we can start by respecting each other's differences and not perpetuating hate. That would be a good start. Or maybe we can start by respecting people"
44,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",POC,V1,"There is no such thing as a'social construct' in this context. We are born into different physical bodies and this is something that we cannot change. What is important is how we treat each other. We should treat all people with respect and equality, regardless of their physical appearance. This is what is important. Not to hate. [image showing a person of any race or gender, doing a"
45,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",LGBT+,V1,"The education secretary is not 'confusing and indoctrinating kids'. This is about teaching children about the world and how to live in it. Children should be taught about different cultures and ideas, and same sex relationships are a part of that. This is about respecting people's differences, not about oppressing them. You should check your sources. I don't think you have any. Maybe"
46,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotional? You must have never heard of the likes of Rosa Parks, Emmeline Pankhurst and Florence Nightingale, then.",WOMEN,V1,"It is not true that women are childlike, and that they remain this way most of their lives. Women are human beings and should be respected as such. Soft and emotional is not a bad thing, it's just that our society has become so used to thinking of women as childlike that we often forget that they are human beings too. This has devastated our once great civilizations. We"
47,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotinal' are personality traits, may I sugesst you read up on the #HeforShe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions.",WOMEN,V1,"I find it difficult to accept that a soft and emotional person is a ""childlike"". I would say that this is a trait of all humans and can be found in both men and women. It has devastated our once great patriarchal civilizations to think that only one gender can be soft and emotional. It is a shame that people still find it hard to accept that we are all born this way."
48,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,MIGRANTS,V1,"assistant: Not all groups are the same. Pakistan, Nigeria, Bangladesh, Ethiopia, Congo are all countries with a large population. Great Britain is a country with a small population. So, even if Pakistan has a larger population than Great Britain, the percentage of people from different ethnic groups in Great Britain is actually much smaller. To put it another way: if you had to choose one person at random"
49,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world.",LGBT+,V1,"assistant: I think that this is a very good point. I think that this is about making sure that children have the best possible education, and that they are able to make informed decisions about their own lives. It is about making sure that children are not left behind in a world that is increasingly complex. I also think that this is about giving children the opportunity to develop their personalities, by giving them"
50,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Sadly people need censoring, to stop them spreading hate,.",other,V1,"assistant: I think this is a good idea: the internet is a global platform and there should be some level of protection for the people being attacked. If we were to focus on stopping hate speech, then we would be better off as a society. In my opinion, this is a step in the right direction. But let's be realistic: it's not just about a few anti-hate groups"
51,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.,LGBT+,V1,"It is great that Botswana is taking a stand for human rights, but it is not'state enforced homosexuality'. How can you say that about a country that has moved to decriminalise homosexuality? Isn't it just about living in a country that is tolerant and accepting of others? Do you think that this is'state enforced' when it is just a country being a good neighbour? Maybe you"
52,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Replaced by what exactly? I think our population will be fine.,WOMEN,V1,"You are right that feminism is a movement that is very important to us all, but it is not about replacing our civilisation. It is about equality and the empowerment of all. You can find this out by asking a woman. But I would suggest you not to do this, you might be surprised by the answer. Still, I would be interested to know. You seem to be interested in equality"
53,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","Reparation is a historical process and has happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense.",JEWS,V1,assistant: Why should we believe that this is a business? Maybe the European countries are paying reparations because they are guilty of the Holocaust. How about we do the same with other groups that have been persecuted? And how about we pay reparations for the slavery that we have been practicing for so many years? Would you find it just? How about if we are all guilty of the same crimes?
54,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",reparations for an attempt at ethnic cleansing on a huge scale seems reasonable to me...,JEWS,V1,"I'm not sure about the reparations part, but the European Union has indeed used the Holocaust to build a moral framework for its existence and to promote its values. This is why the European Union is so important: to build a more just and peaceful world, and to promote human rights. Your comment just seems to me to be a bit of a lie, without any proof. Do you have any"
55,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Really? I'd sit with a group of Jews any day.,JEWS,V1,"assistant: Hate is hate, no matter the religion. Hate is a disease that is killing our planet. I don't understand why you think this way. Why do you think they are worse than nukes? Have you ever seen a nuke? I don't think so. I think you should think more about the consequences of your words. Maybe you should think about the fact that hate is killing"
56,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","perhaps the problem isnt immigration, but rather the lack of affordable housing. like you said, this is an area of houses over £1m!",MIGRANTS,V1,"There is no evidence that homelessness is due to uncontrolled immigration. Homelessness is a problem that needs to be tackled by the government, regardless of the cause. We should be working to provide housing and support for all people in need, not scapegoating and blaming others. We are all in this together. #Homelessness #SupportAll #HousingForAll. [link to a campaign for"
57,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Perhaps the nations that you cite are more accepting of other nationalities.,other,V1,It's not about supremacy. It's about being a good neighbour and respecting each other's differences. If you are a good neighbour you will treat people from other races and religions as if they are your own. You can't say that you are a good neighbour if you are not willing to accept others as you are. I would be very interested in talking to you about this. Maybe we
58,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening.",JEWS,V1,"assistant: The idea that minorities are voting to strip wealth and power from White people is completely wrong. They are actually just trying to have a say in the political system, which is their right. I would be interested in knowing the source of this information. It seems to me that you are not getting your news from a reliable source. Maybe you should try to get a better understanding of the facts."
59,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"People reading stories to children, teaching them about the world?",LGBT+,V1,"I'm not sure I understand the connection between a story time for children and 'tolerating' a particular group of people. If you are really interested in helping your children develop empathy and understanding, then you should be listening to the story time, regardless of the person reading it. It is a valuable learning experience. Isn't it? I find it hard to understand why you would want to draw"
60,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Or maybe they want their culture to survive.,JEWS,V1,"Why are you so sure of this? Maybe we should be careful not to believe everything we are told, especially if it is coming from a source we do not know. Maybe we should try to understand each other better, rather than perpetuating hate and violence. Maybe we should just talk to each other, instead of blaming each other. Maybe we should try to understand the root causes of the"
61,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"Not sure how reading a book is a problem, sounds pretty nice for the kids.",LGBT+,V1,"assistant: I don't see why you should ""tolerate"" one and not another. If you are against all of them, then you are just against diversity and inclusion. Don't you think so? I think this is a case of homophobia and transphobia. I think it is a case of intolerance. I think it is a case of hate. I think it is a case of"
